week,google_ads_spend,meta_ads_spend,youtube_spend,amazon_ads_spend,flipkart_ads_spend,offline_spend,is_diwali_week,is_eid_week,is_republic_day_week,is_eors_week,competitor_price_index,avg_product_price,weekly_revenue
2024-01-01,878930.0,910316.0,67141.0,206273.0,116021.0,0.0,0,0,0,0,99.3,2244.92,10354735.0
2024-01-08,619250.0,695698.0,50000.0,287132.0,104441.0,0.0,0,0,0,0,98.69,2171.65,11162964.0
2024-01-15,665653.0,546328.0,86170.0,243407.0,107451.0,0.0,0,0,0,0,101.3,2224.82,11052234.0
2024-01-22,913017.0,563200.0,91057.0,299588.0,81922.0,0.0,0,0,1,0,101.33,2206.23,12738671.0
2024-01-29,851710.0,513860.0,92223.0,211473.0,67515.0,0.0,0,0,1,0,102.14,2245.23,12162102.0
2024-02-05,722697.0,150000.0,72435.0,169106.0,98770.0,0.0,0,0,0,0,103.95,2233.43,10050822.0
2024-02-12,704022.0,538203.0,57767.0,197372.0,131465.0,0.0,0,0,0,0,103.38,2167.19,10600821.0
2024-02-19,603090.0,445561.0,95664.0,204250.0,131021.0,0.0,0,0,0,0,103.33,2193.82,10396543.0
2024-02-26,855830.0,679984.0,50000.0,225981.0,190048.0,0.0,0,0,0,0,104.96,2272.21,11685441.0
2024-03-04,839437.0,766237.0,58138.0,252553.0,167335.0,0.0,0,0,0,0,105.07,2200.38,11550043.0
2024-03-11,440836.0,422533.0,50000.0,155592.0,190038.0,0.0,0,0,0,0,105.98,2195.26,10641243.0
2024-03-18,266372.0,463106.0,50000.0,201925.0,116808.0,642763.0,0,0,0,0,106.84,2171.72,10016725.0
2024-03-25,365123.0,596520.0,65554.0,260435.0,123350.0,834351.0,0,0,0,0,103.85,2180.57,10402875.0
2024-04-01,614746.0,704303.0,78845.0,219695.0,98603.0,0.0,0,0,0,0,101.67,2170.75,11023370.0
2024-04-08,658673.0,944802.0,678751.0,199504.0,139000.0,0.0,0,1,0,0,104.86,2172.04,13116223.0
2024-04-15,622729.0,928784.0,586777.0,164279.0,149280.0,0.0,0,0,0,0,106.05,2127.1,12070538.0
2024-04-22,553990.0,150000.0,52555.0,136289.0,118456.0,700741.0,0,0,0,0,104.39,2125.33,10367648.0
2024-04-29,612339.0,621732.0,52352.0,195355.0,172622.0,811793.0,0,0,0,0,102.67,2139.16,11373483.0
2024-05-06,484112.0,273375.0,84093.0,187756.0,193160.0,0.0,0,0,0,0,104.92,2124.09,10393494.0
2024-05-13,600216.0,497188.0,50000.0,205189.0,168481.0,0.0,0,0,0,0,104.59,2071.88,10843307.0
2024-05-20,826051.0,401593.0,57280.0,182892.0,234335.0,0.0,0,0,0,0,100.85,2114.88,11180138.0
2024-05-27,588278.0,486832.0,76042.0,192144.0,116970.0,0.0,0,0,0,0,100.14,2110.33,10720873.0
2024-06-03,639728.0,448917.0,63008.0,203812.0,139748.0,0.0,0,0,0,0,100.25,2040.22,10779880.0
2024-06-10,856170.0,483480.0,53788.0,161093.0,154008.0,0.0,0,0,0,0,103.67,2065.09,10536839.0
2024-06-17,598633.0,489842.0,50000.0,209815.0,135695.0,0.0,0,0,0,0,98.32,2042.32,11139456.0
2024-06-24,633383.0,655646.0,87542.0,140386.0,155777.0,0.0,0,0,0,0,98.78,2021.83,10958630.0
2024-07-01,846843.0,815886.0,50000.0,172410.0,148803.0,0.0,0,0,0,0,99.29,2018.46,11828198.0
2024-07-08,679614.0,685115.0,61102.0,287327.0,307141.0,0.0,0,0,0,1,97.98,2008.8,14140800.0
2024-07-15,876079.0,363542.0,50000.0,317819.0,315974.0,0.0,0,0,0,1,98.13,2037.03,13847994.0
2024-07-22,665923.0,334879.0,64399.0,141308.0,158491.0,0.0,0,0,0,0,98.13,1994.08,10758241.0
